pokemon_id,pokemon_name,opponent_id,opponent_name,wins,battles,win_probability,wins_majority
1,bulbasaur,2,ivysaur,0,20,0.0,0
1,bulbasaur,3,venusaur,0,20,0.0,0
1,bulbasaur,4,charmander,3,20,0.15,0
1,bulbasaur,5,charmeleon,0,20,0.0,0
1,bulbasaur,6,charizard,0,20,0.0,0
1,bulbasaur,7,squirtle,20,20,1.0,1
1,bulbasaur,8,wartortle,20,20,1.0,1
1,bulbasaur,9,blastoise,19,20,0.95,1
1,bulbasaur,10,caterpie,20,20,1.0,1
1,bulbasaur,11,metapod,20,20,1.0,1
1,bulbasaur,12,butterfree,0,20,0.0,0
1,bulbasaur,13,weedle,1,20,0.05,0
1,bulbasaur,14,kakuna,6,20,0.3,0
1,bulbasaur,15,beedrill,0,20,0.0,0
1,bulbasaur,16,pidgey,1,20,0.05,0
1,bulbasaur,17,pidgeotto,0,20,0.0,0
1,bulbasaur,18,pidgeot,0,20,0.0,0
1,bulbasaur,19,rattata,10,20,0.5,0
1,bulbasaur,20,raticate,0,20,0.0,0
1,bulbasaur,21,spearow,0,20,0.0,0
1,bulbasaur,22,fearow,0,20,0.0,0
1,bulbasaur,23,ekans,0,20,0.0,0
1,bulbasaur,24,arbok,0,20,0.0,0
1,bulbasaur,25,pikachu,20,20,1.0,1
1,bulbasaur,26,raichu,8,20,0.4,0
1,bulbasaur,27,sandshrew,20,20,1.0,1
1,bulbasaur,28,sandslash,0,20,0.0,0
1,bulbasaur,29,nidoran-f,12,20,0.6,1
1,bulbasaur,30,nidorina,0,20,0.0,0
1,bulbasaur,31,nidoqueen,0,20,0.0,0
1,bulbasaur,32,nidoran-m,0,20,0.0,0
1,bulbasaur,33,nidorino,0,20,0.0,0
1,bulbasaur,34,nidoking,0,20,0.0,0
1,bulbasaur,35,clefairy,20,20,1.0,1
1,bulbasaur,36,clefable,0,20,0.0,0
1,bulbasaur,37,vulpix,3,20,0.15,0
1,bulbasaur,38,ninetales,0,20,0.0,0
1,bulbasaur,39,jigglypuff,20,20,1.0,1
1,bulbasaur,40,wigglytuff,0,20,0.0,0
1,bulbasaur,41,zubat,0,20,0.0,0
1,bulbasaur,42,golbat,0,20,0.0,0
1,bulbasaur,43,oddish,11,20,0.55,1
1,bulbasaur,44,gloom,0,20,0.0,0
1,bulbasaur,45,vileplume,0,20,0.0,0
1,bulbasaur,46,paras,19,20,0.95,1
1,bulbasaur,47,parasect,19,20,0.95,1
1,bulbasaur,48,venonat,0,20,0.0,0
1,bulbasaur,49,venomoth,0,20,0.0,0
1,bulbasaur,50,diglett,17,20,0.85,1
1,bulbasaur,51,dugtrio,9,20,0.45,0
1,bulbasaur,52,meowth,13,20,0.65,1
1,bulbasaur,53,persian,0,20,0.0,0
1,bulbasaur,54,psyduck,20,20,1.0,1
1,bulbasaur,55,golduck,12,20,0.6,1
1,bulbasaur,56,mankey,14,20,0.7,1
1,bulbasaur,57,primeape,1,20,0.05,0
1,bulbasaur,58,growlithe,0,20,0.0,0
1,bulbasaur,59,arcanine,0,20,0.0,0
1,bulbasaur,60,poliwag,20,20,1.0,1
1,bulbasaur,61,poliwhirl,20,20,1.0,1
1,bulbasaur,62,poliwrath,18,20,0.9,1
1,bulbasaur,63,abra,0,20,0.0,0
1,bulbasaur,64,kadabra,0,20,0.0,0
1,bulbasaur,65,alakazam,0,20,0.0,0
1,bulbasaur,66,machop,20,20,1.0,1
1,bulbasaur,67,machoke,9,20,0.45,0
1,bulbasaur,68,machamp,0,20,0.0,0
1,bulbasaur,69,bellsprout,20,20,1.0,1
1,bulbasaur,70,weepinbell,0,20,0.0,0
1,bulbasaur,71,victreebel,0,20,0.0,0
1,bulbasaur,72,tentacool,0,20,0.0,0
1,bulbasaur,73,tentacruel,0,20,0.0,0
